model_id,driver_rank,driver_variable,driver_direction,driver_value,driver_contribution,driver_description
collections_v1,5,last_cycle_cut_revolve_rate,increasing_risk,-0.91,-0.053,Low bureau score
collections_v1,4,avutil_exrvlv_balgt50,increasing_risk,0.32,0.0027,High credit loss probability
risk_v3,2,tot_struct_risk_score,increasing_risk,-0.8219,0.0781,High credit loss probability
risk_v3,3,tot_struct_risk_score,increasing_risk,-2.4489,0.0309,Positive FICO trend
collections_v1,3,tpf_internal_delinq_idx,increasing_risk,-0.7664,0.037,Elevated structural risk score
risk_v3,3,cust_pymt_chan_risk_score,decreasing_risk,-0.7892,0.0425,Rising balance trend
collections_v1,3,lvrg_debt_remit,decreasing_risk,0.1812,0.0543,Elevated merchant risk
risk_v3,2,oop_interaction,increasing_risk,-2.4376,0.0848,Rising balance trend
propensity_v2,5,times_30_dpd,increasing_risk,0.0613,-0.06,High out-of-pattern spend
collections_v1,5,cust_expr_to_arb_inc_ratio,increasing_risk,2.6748,-0.0437,High inquiry index
