date,month,amount,merchant_name,merchant_industry,merchant_risk_score,spend_concentration,rnn_spend_score,spend_divergence_index,customer_industry
2024-04-23,June,1.0,Walmart,Construction Materials,0.1404,1.4418,0.0088,2.0258,Healthcare
2024-05-24,February,6336.5862,Other,Office Supplies,0.4339,0.2878,0.0147,4.1904,Construction
2024-06-21,April,5243.6941,Home Depot,Airlines,0.3895,2.0315,0.0028,0.9636,Finance & Insurance
2023-04-04,February,6535.0414,AT&T,Construction Materials,0.4409,1.3437,0.002,2.1839,Technology
2023-05-14,January,1.0,Google Ads,Fuel & Gas,0.0776,2.673,0.0162,0.0,Wholesale Trade
2024-08-24,July,5081.4879,Verizon,Airlines,0.385,0.8301,0.0142,3.0424,Retail Trade
2023-03-09,March,1.0,Costco Wholesale,Transportation Services,0.1346,3.1666,0.0012,0.0,Retail Trade
2024-08-27,May,6775.0966,FedEx,Industrial Supplies,0.4491,0.0,0.0101,5.4916,Transportation & Logistics
2024-05-27,December,6200.0712,Enterprise Rent-A-Car,Telecommunications,0.4196,1.0666,0.0057,2.7721,Hospitality & Tourism
2024-10-14,October,1.0,Staples,Industrial Supplies,0.11,1.2911,0.0,2.276,Technology
2023-09-24,July,3776.0671,Office Depot,Wholesale Clubs,0.318,1.8001,0.0108,1.3964,Healthcare
2023-04-23,August,4484.9565,Office Depot,Hotels & Lodging,0.35,1.9113,0.0048,1.2433,Technology
2023-09-26,March,11487.8058,Sysco Foods,Retail - General,0.6272,1.8606,0.0,1.2911,Transportation & Logistics
2023-09-28,September,1485.4301,Grainger,Car Rental,0.2072,1.069,0.0099,2.7564,Food Services & Restaurants
2023-12-05,April,5056.1091,Staples,Professional Services,0.3837,1.5724,0.0032,1.8307,Professional Services
2023-06-15,July,7796.1187,Other,Hotels & Lodging,0.4858,2.0528,0.0073,0.9155,Construction
2023-04-28,September,4223.0245,Google Ads,Technology & Software,0.3417,0.7386,0.0103,3.1899,Professional Services
2023-08-17,September,1.0,Best Buy,Professional Services,0.133,0.787,0.0041,3.0987,Food Services & Restaurants
2024-09-07,October,3764.4241,Shell Oil,Wholesale Clubs,0.3164,1.6587,0.0035,1.567,Wholesale Trade
2024-05-13,April,3720.5219,FedEx,Technology & Software,0.3148,0.4145,0.004,3.9382,Retail Trade
2024-08-11,July,1.0,Marriott,Shipping & Freight,0.0,1.4227,0.012,2.0427,Healthcare
2024-05-01,October,1911.9457,Office Depot,Retail - General,0.227,0.773,0.0063,3.1229,Wholesale Trade
2024-02-11,February,1.0,Hilton Hotels,Retail - General,0.0,1.8023,0.0163,1.3807,Retail Trade
2023-04-13,September,9637.4264,Comcast Business,,0.5372,0.375,0.0061,4.0175,Technology
2024-04-23,May,11268.4551,Verizon,Telecommunications,0.6057,0.0,0.0067,5.0512,Professional Services
2024-07-13,June,6756.4279,Other,Technology & Software,0.446,0.4034,0.0058,3.962,Education
2023-03-08,October,7043.0068,Uber Business,Transportation Services,0.4568,2.1571,0.0107,0.6767,Construction
2023-01-23,December,4624.8295,Amazon Business,Office Supplies,0.361,1.7855,0.0049,1.4112,Hospitality & Tourism
2023-07-22,August,2207.9438,Best Buy,Office Supplies,0.241,1.829,0.0133,1.3328,Food Services & Restaurants
2023-06-21,April,465.2813,FedEx,Airlines,0.1631,1.3947,0.0067,2.114,Technology
2024-11-01,October,6121.4134,Google Ads,Digital Advertising,0.4179,0.9283,0.0114,2.9277,Transportation & Logistics
2024-02-12,November,1395.1634,Other,Telecommunications,0.207,3.6476,0.0082,0.0,Healthcare
2023-10-27,February,1.0,Meta Ads,Car Rental,0.0,1.2517,0.0014,2.3512,Technology
2023-05-03,October,343.3028,Shell Oil,Fuel & Gas,0.1588,0.0,0.0142,6.7679,Technology
2024-07-18,January,458.0569,Grainger,Office Supplies,0.1619,0.535,0.0062,3.6367,Construction
2023-04-28,November,1.0,Delta Airlines,Digital Advertising,0.0,2.1127,0.0034,0.8122,Finance & Insurance
2023-12-30,September,1762.7876,Other,Hotels & Lodging,0.219,0.8822,0.011,2.9691,Retail Trade
2023-10-06,July,1.0,Amazon Business,Airlines,0.0518,0.6695,0.0074,3.3581,Nonprofit
2024-03-19,September,5277.9104,Verizon,Office Supplies,0.3912,0.5098,0.0028,3.7588,Food Services & Restaurants
2023-03-28,August,5147.067,Other,,0.3868,0.7703,0.0025,3.1305,Technology
2023-12-28,September,3096.1293,Other,Transportation Services,0.2932,0.2407,0.0,4.348,Professional Services
2024-12-09,June,4568.9616,FedEx,Airlines,0.3584,0.0,0.0,5.2756,Hospitality & Tourism
2024-07-30,December,8326.5377,Hertz,Retail - General,0.497,0.3842,0.0088,4.0151,Construction
2023-03-12,December,2060.6163,Home Depot,Fuel & Gas,0.2354,0.6844,0.0039,3.3279,Finance & Insurance
2024-05-29,February,4953.8335,Home Depot,Technology & Software,0.3824,0.1197,0.0059,4.6239,Real Estate
2024-02-28,August,1.0,Staples,Hotels & Lodging,0.0,2.0451,0.0064,0.9391,Technology
